nba_player_list_2
Name,Points,Asist,Board,Salary
Chandler Hutchison,5.2,4.2,0.8,2332320
Patrick Patterson,3.6,2.3,0.5,2331593
Dejounte Murray,6.6,4.2,2.3,2321735
Isaiah Thomas,8.1,1.1,1.9,2320044
Alec Burks,8.8,3.7,2,2320044
Damian Jones,5.4,3.1,1.2,2305057
Darius Bazley,NAN,NAN,NAN,2284800
OG Anunoby,7,2.9,0.7,2281800
Ante ?i?i?,7.8,5.4,0.9,2281800
Monta Ellis,17.8,3.5,4.6,2245400
Aaron Holiday,5.9,1.3,1.7,2239200
Luke Kornet,7,2.9,1.2,2195122
Ty Jerome,NAN,NAN,NAN,2193480
Willie Cauley-Stein,11.9,8.4,2.4,2177483
Austin Rivers,8.1,2.1,2.2,2174318
Anfernee Simons,3.8,0.7,0.7,2149560
Matt Barnes,8.2,4.6,1.8,2133541
Nassir Little,NAN,NAN,NAN,2105520
Torrey Craig,5.7,3.5,1,2100000
Moritz Wagner,4.8,2,0.6,2063520
Dylan Windler,NAN,NAN,NAN,2035800
Caleb Swanigan,2,3,0.5,2033160
Kyle O'Quinn,3.5,2.6,1.2,2028594
Michael Carter-Williams,4.8,2.5,2.5,2028594
Nerlens Noel,4.9,4.2,0.6,2028594
Mike Muscala,7,3.8,1.2,2028594
Troy Daniels,6.2,1.4,0.5,2028594
Trey Burke,10.9,1.7,2.7,2028594
Spencer Hawes,8.7,5.7,1.9,2007058
Edmond Sumner,2.9,1,0.4,2000000
Noah Vonleh,8.4,7.8,1.9,2000000
Avery Bradley,9.9,2.8,2.4,2000000
Landry Shamet,9.1,1.7,1.5,1995120
Mfiondu Kabengele,NAN,NAN,NAN,1977000
Kyle Kuzma,18.7,5.5,2.5,1974600
Jordan Poole,NAN,NAN,NAN,1964760
Tony Bradley,5.7,5,0.3,1962360
Keldon Johnson,NAN,NAN,NAN,1950600
Derrick White,9.9,3.7,3.9,1948080
Robert Williams,2.5,2.5,0.2,1937520
Josh Hart,7.8,3.7,1.4,1934160
Jacob Evans,1.3,0.8,0.8,1925880
Anderson Varej?o,7.3,7.2,1.2,1913345
D?anan Musa,2.1,0.6,0.2,1911600
Omari Spellman,5.9,4.2,1,1897800
James Ennis,6.7,3.1,0.7,1882867
Shabazz Napier,9.4,1.8,2.6,1882867
Glenn Robinson III,4.2,1.5,0.4,1882867
Tim Frazier,5.3,2.8,4.2,1882867
Ben McLemore,3.9,0.9,0.2,1882867
Larry Sanders,6.4,5.7,0.7,1865547
Bruno Caboclo,8.3,4.6,1.5,1845301
Mario Hezonja,8.8,4.1,1.5,1737145
Emmanuel Mudiay,14.8,3.3,3.9,1737145
Raul Neto,5.3,1.7,2.5,1737145
JaKarr Sampson,20,8,1,1737145
Cameron Payne,6.3,1.8,2.7,1737145
Anthony Bennett,4.4,3.1,0.5,1737145
Pat Connaughton,6.9,4.2,2,1723050
Jahlil Okafor,8.2,4.7,0.7,1702486
Rodions Kurucs,8.5,3.9,0.8,1699236
Jonah Bolden,4.7,3.8,0.9,1698450
Cheick Diallo,6,5.2,0.5,1678854
Treveon Graham,5.3,3.1,1,1678854
David Nwaba,6.5,3.2,1.1,1678854
Dragan Bender,5,4,1.2,1678854
Willy Hernang?mez,7.3,5.4,1,1676735
Isaac Bonga,0.9,1.1,0.7,1663861
Derrick Jones Jr.,7,4,0.6,1645357
Jordan McRae,5.9,1.5,1.1,1645357
Georges Niang,4,1.5,0.6,1645357
Christian Wood,8.2,4,0.4,1645357
Justin Patton,1.7,2,1,1620564
Tyler Lydon,0.9,0.7,0.2,1620564
Wesley Iwundu,5,2.7,1.1,1618520
Abdel Nader,4,1.9,0.3,1618520
Damyean Dotson,10.7,3.6,1.8,1618520
Frank Jackson,8.1,2.2,1.1,1618520
Sterling Brown,6.4,3.2,1.4,1618520
Dillon Brooks,7.5,1.7,0.9,1618520
Dwayne Bacon,7.3,2.1,1.1,1618520
Semi Ojeleye,3.3,1.5,0.4,1618520
Ivan Rabb,5.8,4.2,1.1,1618520
Royce O'Neale,5.2,3.5,1.5,1618520
Monte Morris,10.4,2.4,3.6,1588231
